loc,title,bedroom,bathroom,parking_space,price
Katsina,Semi-detached duplex,2.0,2.0,1.0,1149999.565
Anambra,Detached duplex,5.0,2.0,4.0,2410306.756
Katsina,Penthouse,3.0,3.0,5.0,2043107.592
Ogun,Bungalow,1.0,1.0,6.0,1330213.036
Bayelsa,Apartment,3.0,2.0,2.0,1891772.069
Abia,Terrace duplex,3.0,3.0,3.0,1293794.285
Rivers,Townhouse,2.0,2.0,2.0,2028777.004
Ebonyi,Apartment,5.0,2.0,1.0,1272895.726
Osun,Mansion,2.0,1.0,2.0,4163334.857
Enugu,Apartment,1.0,1.0,4.0,1125336.334
Edo,Flat,6.0,5.0,6.0,2446005.185
Nasarawa,Townhouse,5.0,2.0,3.0,2234301.476
Kwara,Flat,5.0,2.0,1.0,1492238.896
Kano,Penthouse,1.0,1.0,1.0,1664232.445
Kano,Terrace duplex,5.0,5.0,5.0,2147791.41
Osun,Semi-detached duplex,3.0,2.0,3.0,1751635.699
Yobe,Semi-detached duplex,9.0,3.0,4.0,2507303.272
Edo,Mansion,5.0,4.0,4.0,4596234.296
Abia,Apartment,6.0,1.0,3.0,1518329.108
Edo,Townhouse,4.0,1.0,1.0,1918782.352
Ebonyi,Flat,4.0,2.0,1.0,1167521.163
Delta,Mansion,3.0,2.0,1.0,4223442.423
Benue,Bungalow,7.0,4.0,6.0,2167431.017
Benue,Detached duplex,5.0,4.0,4.0,2352604.128
Rivers,Bungalow,2.0,2.0,3.0,1711290.282
Bayelsa,Penthouse,2.0,2.0,2.0,3225484.923
Kogi,Cottage,1.0,1.0,3.0,643193.3905
Kano,Cottage,1.0,1.0,2.0,750033.2902
Cross River,Flat,2.0,2.0,4.0,1458366.968
Niger,Semi-detached duplex,4.0,2.0,2.0,1476299.188
Adamawa,Apartment,1.0,1.0,2.0,804146.0644
Imo,Mansion,1.0,1.0,4.0,2463522.102
Kano,Mansion,1.0,1.0,3.0,2687046.276
Taraba,Townhouse,4.0,3.0,4.0,1888880.066
Oyo,Detached duplex,8.0,5.0,6.0,3571564.98
Katsina,Flat,3.0,2.0,2.0,1230014.981
Kaduna,Cottage,5.0,1.0,3.0,1226377.252
Cross River,Apartment,3.0,2.0,3.0,1444513.165
Zamfara,Mansion,1.0,1.0,3.0,2881682.954
Sokoto,Apartment,6.0,2.0,5.0,1574193.772
Edo,Apartment,5.0,5.0,1.0,1825233.344
Cross River,Townhouse,7.0,6.0,4.0,3292169.361
Imo,Mansion,2.0,2.0,3.0,1596635.146
Ondo,Penthouse,3.0,1.0,4.0,2305736.653
Sokoto,Flat,3.0,2.0,2.0,1108004.241
Jigawa,Bungalow,2.0,1.0,4.0,914752.5784
Kaduna,Mansion,9.0,2.0,3.0,4694243.682
Kano,Townhouse,7.0,3.0,2.0,2621577.091
Imo,Detached duplex,2.0,1.0,2.0,1548200.838
Ondo,Townhouse,1.0,1.0,2.0,1503836.215
Taraba,Semi-detached duplex,4.0,3.0,2.0,1593541.743
Cross River,Detached duplex,7.0,4.0,5.0,3477021.652
Rivers,Mansion,3.0,1.0,4.0,5790058.642
Bayelsa,Flat,7.0,1.0,4.0,3066065.157
Imo,Mansion,2.0,1.0,3.0,3010288.987
Nasarawa,Cottage,5.0,2.0,1.0,1319023.311
Borno,Townhouse,1.0,1.0,6.0,1175155.481
Anambra,Cottage,1.0,1.0,2.0,1222589.963
Enugu,Flat,5.0,2.0,3.0,1781888.872
